year, month, year_month, temperature
2002, 7, 2002-7, 13.090196078431372
2002, 8, 2002-8, 14.396078431372548
2002, 9, 2002-9, 14.396078431372548
2002, 10, 2002-10, 14.831372549019608
2002, 11, 2002-11, 12.364705882352942
2002, 12, 2002-12, 11.639215686274511
2003, 1, 2003-1, 9.898039215686275
2003, 2, 2003-2, 8.301960784313726
2003, 3, 2003-3, 8.301960784313726
2003, 4, 2003-4, 8.737254901960785
2003, 5, 2003-5, 9.607843137254902
2003, 6, 2003-6, 11.494117647058824
2003, 7, 2003-7, 13.670588235294117
2003, 8, 2003-8, 14.396078431372548
2003, 9, 2003-9, 15.12156862745098
2003, 10, 2003-10, 14.396078431372548
2003, 11, 2003-11, 12.945098039215686
2003, 12, 2003-12, 11.639215686274511
2004, 1, 2004-1, 8.737254901960785
2004, 2, 2004-2, 8.737254901960785
2004, 3, 2004-3, 8.15686274509804
2004, 4, 2004-4, 8.592156862745098
2004, 5, 2004-5, 11.349019607843138
2004, 6, 2004-6, 12.945098039215686
2004, 7, 2004-7, 13.090196078431372
2004, 8, 2004-8, 15.12156862745098
2004, 9, 2004-9, 15.411764705882351
2004, 10, 2004-10, 14.105882352941176
2004, 11, 2004-11, 13.090196078431372
2004, 12, 2004-12, 11.349019607843138
2005, 1, 2005-1, 9.752941176470587
2005, 2, 2005-2, 8.737254901960785
2005, 3, 2005-3, 8.011764705882353
2005, 4, 2005-4, 8.882352941176471
2005, 5, 2005-5, 10.188235294117646
2005, 6, 2005-6, 11.494117647058824
2005, 7, 2005-7, 13.380392156862746
2005, 8, 2005-8, 14.541176470588237
2005, 9, 2005-9, 14.686274509803923
2005, 10, 2005-10, 13.670588235294117
2005, 11, 2005-11, 13.670588235294117
2005, 12, 2005-12, 11.494117647058824
2006, 1, 2006-1, 9.752941176470587
2006, 2, 2006-2, NaN
2006, 3, 2006-3, 3.9490196078431374
2006, 4, 2006-4, 8.447058823529412
2006, 5, 2006-5, 9.607843137254902
2006, 6, 2006-6, 11.639215686274511
2006, 7, 2006-7, 14.686274509803923
2006, 8, 2006-8, 14.105882352941176
2006, 9, 2006-9, 14.686274509803923
2006, 10, 2006-10, 14.976470588235294
2006, 11, 2006-11, 13.525490196078431
2006, 12, 2006-12, 11.639215686274511
2007, 1, 2007-1, 9.898039215686275
2007, 2, 2007-2, 9.898039215686275
2007, 3, 2007-3, 8.882352941176471
2007, 4, 2007-4, 7.2862745098039206
2007, 5, 2007-5, 10.913725490196077
2007, 6, 2007-6, 12.945098039215686
2007, 7, 2007-7, 13.815686274509803
2007, 8, 2007-8, 15.12156862745098
2007, 9, 2007-9, 15.266666666666666
2007, 10, 2007-10, 14.541176470588237
2007, 11, 2007-11, 14.396078431372548
2007, 12, 2007-12, 11.784313725490197
2008, 1, 2008-1, 10.04313725490196
2008, 2, 2008-2, 8.301960784313726
2008, 3, 2008-3, 8.447058823529412
2008, 4, 2008-4, 8.301960784313726
2008, 5, 2008-5, 10.47843137254902
2008, 6, 2008-6, 12.219607843137256
2008, 7, 2008-7, 13.235294117647058
2008, 8, 2008-8, 14.396078431372548
2008, 9, 2008-9, 14.686274509803923
2008, 10, 2008-10, 13.815686274509803
2008, 11, 2008-11, 11.929411764705883
2008, 12, 2008-12, 11.203921568627452
2009, 1, 2009-1, 8.882352941176471
2009, 2, 2009-2, 8.15686274509804
2009, 3, 2009-3, 7.866666666666667
2009, 4, 2009-4, 8.011764705882353
2009, 5, 2009-5, 8.882352941176471
2009, 6, 2009-6, 12.654901960784313
2009, 7, 2009-7, 13.090196078431372
2009, 8, 2009-8, 14.250980392156862
2009, 9, 2009-9, 14.541176470588237
2009, 10, 2009-10, 13.96078431372549
2009, 11, 2009-11, 12.654901960784313
2009, 12, 2009-12, 10.333333333333332
2010, 1, 2010-1, 9.172549019607843
2010, 2, 2010-2, 7.576470588235296
2010, 3, 2010-3, 7.721568627450981
2010, 4, 2010-4, 7.721568627450981
2010, 5, 2010-5, 8.882352941176471
2010, 6, 2010-6, 11.784313725490197
2010, 7, 2010-7, 13.380392156862746
2010, 8, 2010-8, 14.250980392156862
2010, 9, 2010-9, 14.976470588235294
2010, 10, 2010-10, 14.686274509803923
2010, 11, 2010-11, 12.654901960784313
2010, 12, 2010-12, 11.058823529411766
2011, 1, 2011-1, 8.301960784313726
2011, 2, 2011-2, 7.2862745098039206
2011, 3, 2011-3, 8.15686274509804
2011, 4, 2011-4, 8.882352941176471
2011, 5, 2011-5, 10.188235294117646
2011, 6, 2011-6, 11.494117647058824
2011, 7, 2011-7, 13.235294117647058
2011, 8, 2011-8, 14.831372549019608
2011, 9, 2011-9, 14.541176470588237
2011, 10, 2011-10, 14.250980392156862
2011, 11, 2011-11, 13.380392156862746
2011, 12, 2011-12, 9.31764705882353
2012, 1, 2012-1, 9.462745098039216
2012, 2, 2012-2, 9.31764705882353
2012, 3, 2012-3, 8.592156862745098
2012, 4, 2012-4, 8.737254901960785
2012, 5, 2012-5, 9.898039215686275
2012, 6, 2012-6, 11.929411764705883
2012, 7, 2012-7, 12.945098039215686
2012, 8, 2012-8, 14.396078431372548
2012, 9, 2012-9, 14.831372549019608
2012, 10, 2012-10, 14.250980392156862
2012, 11, 2012-11, 12.509803921568627
2012, 12, 2012-12, 10.913725490196077
2013, 1, 2013-1, 8.592156862745098
2013, 2, 2013-2, 7.866666666666667
2013, 3, 2013-3, 6.56078431372549
2013, 4, 2013-4, 7.576470588235296
2013, 5, 2013-5, 8.737254901960785
2013, 6, 2013-6, 12.509803921568627
2013, 7, 2013-7, 12.945098039215686
2013, 8, 2013-8, 13.815686274509803
2013, 9, 2013-9, 14.250980392156862
2013, 10, 2013-10, 14.396078431372548
2013, 11, 2013-11, 13.525490196078431
2013, 12, 2013-12, 11.349019607843138
2014, 1, 2014-1, 9.898039215686275
2014, 2, 2014-2, NaN
2014, 3, 2014-3, 8.15686274509804
2014, 4, 2014-4, 9.898039215686275
2014, 5, 2014-5, 11.058823529411766
2014, 6, 2014-6, 12.509803921568627
2014, 7, 2014-7, 13.815686274509803
2014, 8, 2014-8, 15.12156862745098
2014, 9, 2014-9, 15.701960784313727
2014, 10, 2014-10, 14.976470588235294
2014, 11, 2014-11, 13.670588235294117
2014, 12, 2014-12, 12.945098039215686
2015, 1, 2015-1, 10.04313725490196
2015, 2, 2015-2, 7.866666666666667
2015, 3, 2015-3, 8.011764705882353
2015, 4, 2015-4, 8.737254901960785
2015, 5, 2015-5, 9.752941176470587
2015, 6, 2015-6, 10.47843137254902
2015, 7, 2015-7, 13.235294117647058
2015, 8, 2015-8, 14.396078431372548
2015, 9, 2015-9, 14.396078431372548
2015, 10, 2015-10, 14.250980392156862
2015, 11, 2015-11, 13.235294117647058
2015, 12, 2015-12, 11.349019607843138
2016, 1, 2016-1, 10.47843137254902
2016, 2, 2016-2, 8.737254901960785
2016, 3, 2016-3, 8.447058823529412
2016, 4, 2016-4, 8.737254901960785
2016, 5, 2016-5, 10.04313725490196
2016, 6, 2016-6, 11.929411764705883
2016, 7, 2016-7, 14.105882352941176
2016, 8, 2016-8, 14.396078431372548
2016, 9, 2016-9, 15.12156862745098
2016, 10, 2016-10, 14.686274509803923
2016, 11, 2016-11, 12.364705882352942
2016, 12, 2016-12, 11.203921568627452
2017, 1, 2017-1, 9.898039215686275
2017, 2, 2017-2, 8.882352941176471
2017, 3, 2017-3, 8.737254901960785
2017, 4, 2017-4, 8.882352941176471
2017, 5, 2017-5, 11.058823529411766
2017, 6, 2017-6, 12.219607843137256
2017, 7, 2017-7, 13.815686274509803
2017, 8, 2017-8, 14.686274509803923
2017, 9, 2017-9, 14.976470588235294
2017, 10, 2017-10, 14.831372549019608
2017, 11, 2017-11, 13.235294117647058
2017, 12, 2017-12, 9.752941176470587
2018, 1, 2018-1, 9.172549019607843
2018, 2, 2018-2, 8.301960784313726
2018, 3, 2018-3, 7.431372549019606
2018, 4, 2018-4, 8.15686274509804
2018, 5, 2018-5, 9.027450980392157
2018, 6, 2018-6, 11.929411764705883
2018, 7, 2018-7, 13.525490196078431
2018, 8, 2018-8, 14.831372549019608
2018, 9, 2018-9, 14.250980392156862
2018, 10, 2018-10, 13.96078431372549
2018, 11, 2018-11, 12.945098039215686
2018, 12, 2018-12, 11.784313725490197
2019, 1, 2019-1, 7.866666666666667
2019, 2, 2019-2, NaN
2019, 3, 2019-3, 8.737254901960785
2019, 4, 2019-4, 7.866666666666667
2019, 5, 2019-5, 9.898039215686275
2019, 6, 2019-6, 12.654901960784313
2019, 7, 2019-7, 14.250980392156862
2019, 8, 2019-8, 15.12156862745098
2019, 9, 2019-9, 14.831372549019608
2019, 10, 2019-10, 14.396078431372548
